qvcode,weight
600519.SH,1
300750.SZ,1
601318.SH,1
600036.SH,1
000333.SZ,1
601899.SH,1
600900.SH,1
000858.SZ,1
601166.SH,1
002594.SZ,1
601398.SH,1
600276.SH,1
601328.SH,1
002475.SZ,1
600030.SH,1
000651.SZ,1
300760.SZ,1
600887.SH,1
600309.SH,1
300059.SZ,1
000725.SZ,1
601088.SH,1
600919.SH,1
601288.SH,1
300308.SZ,1
601816.SH,1
002714.SZ,1
002415.SZ,1
300124.SZ,1
000568.SZ,1
600690.SH,1
601668.SH,1
600028.SH,1
600809.SH,1
601138.SH,1
601857.SH,1
300498.SZ,1
000001.SZ,1
601225.SH,1
600406.SH,1
601012.SH,1
300274.SZ,1
601601.SH,1
601919.SH,1
600000.SH,1
601985.SH,1
688981.SH,1
601988.SH,1
600031.SH,1
600016.SH,1
000792.SZ,1
600941.SH,1
603259.SH,1
601728.SH,1
002352.SZ,1
002142.SZ,1
000063.SZ,1
002371.SZ,1
600050.SH,1
600150.SH,1
000338.SZ,1
600837.SH,1
601766.SH,1
000100.SZ,1
601169.SH,1
002230.SZ,1
603501.SH,1
600660.SH,1
600089.SH,1
601229.SH,1
600048.SH,1
000625.SZ,1
601888.SH,1
688041.SH,1
601688.SH,1
600436.SH,1
600104.SH,1
600905.SH,1
601390.SH,1
002027.SZ,1
601211.SH,1
600938.SH,1
603986.SH,1
601006.SH,1
688012.SH,1
688111.SH,1
603288.SH,1
601600.SH,1
600019.SH,1
600438.SH,1
603993.SH,1
601818.SH,1
600585.SH,1
300015.SZ,1
002304.SZ,1
601989.SH,1
600999.SH,1
300014.SZ,1
600886.SH,1
601658.SH,1
601009.SH,1
601628.SH,1
000002.SZ,1
002050.SZ,1
000938.SZ,1
000425.SZ,1
600795.SH,1
600893.SH,1
601998.SH,1
600547.SH,1
688008.SH,1
603019.SH,1
601939.SH,1
000538.SZ,1
688271.SH,1
600760.SH,1
600926.SH,1
600111.SH,1
601669.SH,1
600584.SH,1
002241.SZ,1
600674.SH,1
688256.SH,1
601916.SH,1
600958.SH,1
600009.SH,1
600489.SH,1
002252.SZ,1
600015.SH,1
002179.SZ,1
300408.SZ,1
000166.SZ,1
600426.SH,1
002311.SZ,1
002049.SZ,1
600011.SH,1
688036.SH,1
000596.SZ,1
000157.SZ,1
601186.SH,1
000776.SZ,1
000977.SZ,1
601377.SH,1
300122.SZ,1
600989.SH,1
002460.SZ,1
001979.SZ,1
002466.SZ,1
603799.SH,1
300782.SZ,1
601901.SH,1
601111.SH,1
000768.SZ,1
003816.SZ,1
600115.SH,1
300433.SZ,1
000661.SZ,1
002236.SZ,1
600188.SH,1
600010.SH,1
000786.SZ,1
601633.SH,1
002129.SZ,1
600029.SH,1
603369.SH,1
601788.SH,1
002601.SZ,1
601800.SH,1
002648.SZ,1
600845.SH,1
002001.SZ,1
600570.SH,1
002493.SZ,1
600196.SH,1
600346.SH,1
600085.SH,1
601360.SH,1
601117.SH,1
601838.SH,1
601995.SH,1
300347.SZ,1
300896.SZ,1
600233.SH,1
601021.SH,1
002180.SZ,1
600600.SH,1
601066.SH,1
600745.SH,1
002920.SZ,1
601868.SH,1
601689.SH,1
002271.SZ,1
300661.SZ,1
600023.SH,1
000963.SZ,1
601872.SH,1
002736.SZ,1
601100.SH,1
002938.SZ,1
600176.SH,1
000895.SZ,1
600219.SH,1
601336.SH,1
601881.SH,1
601699.SH,1
603392.SH,1
600741.SH,1
600183.SH,1
000999.SZ,1
300033.SZ,1
600362.SH,1
688126.SH,1
000983.SZ,1
600372.SH,1
002709.SZ,1
600515.SH,1
002812.SZ,1
601898.SH,1
002459.SZ,1
002916.SZ,1
600588.SH,1
002074.SZ,1
601878.SH,1
601618.SH,1
601877.SH,1
688599.SH,1
300316.SZ,1
000301.SZ,1
300450.SZ,1
002555.SZ,1
000876.SZ,1
600332.SH,1
688396.SH,1
601607.SH,1
300496.SZ,1
600875.SH,1
002202.SZ,1
300628.SZ,1
000408.SZ,1
300142.SZ,1
600803.SH,1
601615.SH,1
002007.SZ,1
300751.SZ,1
601238.SH,1
600025.SH,1
301269.SZ,1
300759.SZ,1
000733.SZ,1
601799.SH,1
603806.SH,1
002821.SZ,1
605499.SH,1
300223.SZ,1
300999.SZ,1
688223.SH,1
605117.SH,1
688303.SH,1
300919.SZ,1
603260.SH,1
600918.SH,1
600132.SH,1
300413.SZ,1
601319.SH,1
603195.SH,1
600460.SH,1
600018.SH,1
600061.SH,1
000617.SZ,1
002410.SZ,1
603659.SH,1
600039.SH,1
000708.SZ,1
002603.SZ,1
601865.SH,1
688187.SH,1
300454.SZ,1
603899.SH,1
002841.SZ,1
300763.SZ,1
600754.SH,1
603290.SH,1
603486.SH,1
603833.SH,1
688363.SH,1
600732.SH,1
688065.SH,1
000069.SZ,1
300979.SZ,1
601808.SH,1
601236.SH,1
601698.SH,1
601155.SH,1
000877.SZ,1
300957.SZ,1
000800.SZ,1
688561.SH,1
600606.SH,1
601059.SH,1
001289.SZ,1
